x,y
-10602907.4374,3459929.988499999
-10602914.6483,3459994.8774999976
-10603001.3606,3460018.3249000013
-10602973.814,3460041.044200003
-10602960.0261,3460052.0666999966
-10602987.294,3460029.5786999986
-10603062.2046,3460203.6111999974
-10602998.9621,3460182.738499999
-10602922.9859,3460315.3633999974
-10602703.0064,3460003.3206999972
-10602702.8325,3459933.854500003
-10602675.8453,3459955.970200002
-10602648.4374,3459978.485299997
-10602609.7017,3460173.5600999966
-10602773.2323,3460275.300999999
-10602838.3776,3460384.1867000014
-10602804.2823,3460342.0559
-10602784.3587,3460428.8368000016
-10602897.3726,3460429.2484000027
-10602856.4114,3460463.016599998
-10602929.9814,3460636.775700003
-10603011.3559,3460569.7788999975
-10602935.6405,3460560.8703000024
-10602921.8768,3460572.361100003
-10603070.0842,3460615.1926999986
-10603056.2893,3460626.831299998
-10603094.9411,3460806.227499999
-10603078.7363,3460935.6938000023
-10603019.606,3460891.7380999997
-10602904.7134,3460750.1898000017
-10602784.2723,3460685.4042000026
-10602766.0995,3460607.4870999977
-10602771.9495,3460531.4211999997
-10602758.2843,3460542.0666000023
-10602744.8353,3460553.409500003
-10602652.6019,3460536.1371000037
-10602398.8266,3460181.4971999973
-10602412.5297,3460170.464400001
-10602381.3086,3460104.255400002
-10602198.9764,3460091.8510999978
-10602202.3179,3460180.7206000015
-10602276.1241,3460355.029600002
-10602301.3235,3460261.3310000002
-10602267.3563,3460289.191399999
-10602400.3619,3460508.2377000004
-10602543.5638,3460626.8352999985
-10602676.5185,3460681.7426000014
-10602600.6071,3460671.4624999985
-10602828.4682,3460868.774599999
-10602746.9791,3460880.1230000034
-10602777.4693,3461089.4337000027
-10602791.0519,3461078.2996999994
-10602689.7243,3460926.1433999985
-10602564.3946,3460938.206600003
-10602618.3121,3460893.914300002
-10602610.4785,3460827.4223000035
-10602570.0903,3460860.4310000017
-10602556.4129,3460871.4926000014
-10602485.8929,3460674.595399998
-10602413.4229,3460662.3574
-10602226.323,3460395.464900002
-10602091.557,3460180.1143999994
-10602085.0732,3460185.4970000014
-10602051.0879,3460213.5062000006
-10602023.827,3460235.924900003
-10601932.9756,3460311.6071999967
-10601946.1252,3460299.9870999977
-10601953.0323,3460294.6625000015
-10601833.2251,3460321.2507999986
-10601939.2916,3460305.3532999977
-10601990.9616,3460425.6477999985
-10602018.143,3460403.3752999976
-10602107.0818,3460658.2026999965
-10602149.9753,3460622.040100001
-10602142.0848,3460556.248499997
-10602148.7974,3460550.6164000034
-10602189.878,3460754.743900001
-10602203.3724,3460743.502899997
-10602195.0198,3460678.1614999995
-10602154.5364,3460711.884300001
-10602292.8733,3460833.0791999996
-10602346.6212,3460788.465099998
-10602364.4217,3460866.7883
-10602520.2384,3460973.849600002
-10601410.6319,3459975.025600001
-10599936.1902,3461232.744099997
-10599799.3256,3461290.4981999993
-10596523.1755,3459650.289300002
-10596515.98,3459235.8772
-10595031.9638,3460933.6977000013
-10595015.9091,3461043.1787
-10594877.0923,3461032.610299997
-10594777.9529,3460966.0309000015
-10622400.7933,3514372.729500003
-10618981.5567,3493896.2814000025
-10618527.5264,3494373.072300002
-10618526.754,3494430.9684000015
-10618979.5527,3494462.842299998
-10618313.8642,3491447.8636000007
-10618314.2072,3491565.8747000024
-10618610.6966,3491609.405000001
-10618760.9569,3491651.642499998
-10618730.3651,3493088.9733999968
-10618271.8066,3493247.6994000003
-10619054.1396,3493143.3840999976
-10632248.7274,3494121.848099999
-10632281.5809,3494077.4483999982
-10632633.1972,3494101.2858000025
-10632868.8711,3494099.596000001
-10632903.2387,3493996.1961999983
-10632903.781,3494068.424800001
-10632885.9119,3494028.8232999966
-10632868.5398,3494055.4463
-10633167.4445,3494079.6684999987
-10633220.2239,3494088.0974999964
-10633255.4988,3494105.4900999963
-10633343.287,3494095.9913000017
-10633342.9541,3494051.841499999
-10633571.2423,3494032.4399999976
-10633659.6979,3494111.238300003
-10633658.165,3494042.617200002
-10633574.4121,3494200.2239999995
-10633574.281,3494182.5639000013
-10633574.0844,3494156.0738999993
-10633486.6875,3494218.5424000025
-10633433.7123,3494183.6169999987
-10633345.6608,3494157.7842999995
-10633310.7147,3494184.537100002
-10633310.5839,3494166.8770999983
-10633310.4533,3494149.217100002
-10633255.8314,3494149.6400000006
-10633080.5195,3494203.9558999985
-10632957.787,3494240.209899999
-10632957.5549,3494209.304700002
-10632992.3323,3494160.473099999
-10632957.1901,3494160.739699997
-10632902.798,3494236.7874
-10632904.4105,3494152.3093999997
-10632701.4196,3494160.690899998
-10632722.0441,3494233.0713
-10632370.2923,3494191.5759000033
-10632370.8197,3494262.2163999975
-10632370.5561,3494226.8960999995
-10632247.3608,3494201.332999997
-10632282.1737,3494156.918200001
-10617786.2865,3483884.457699999
-10617591.6774,3483853.4133
-10617494.2227,3483844.8043000028
-10644376.7341,3516073.3813000023
-10644506.9574,3516143.034199998
-10643295.6633,3516825.088200003
-10641428.3732,3513358.351499997
-10640768.2379,3517437.1890999973
-10641431.8688,3515427.1274000034
-10587909.6914,3505389.1827000007
-10602040.8572,3470022.7032999992
-10602189.359,3470208.4179999977
-10602045.1652,3470544.3005999997
-10606404.8556,3479219.3297000006
-10622317.4981,3514668.6341999993
-10622323.5725,3514905.3012000024
-10616795.7077,3480968.5451000035
-10571551.6076,3469337.320299998
-10571552.2139,3469298.9587000012
-10571406.7209,3469471.9574000016
-10571362.1663,3469416.5103999972
-10571538.0909,3469617.037100002
-10571522.2356,3469610.7695999965
-10571505.9037,3469604.4614000022
-10571457.3733,3469585.486299999
-10571408.0109,3469566.2348999977
-10571338.5295,3469501.9064000025
-10632636.8798,3499075.373999998
-10588958.2623,3489012.4284999967
-10592683.4765,3489435.3816
-10592327.4427,3490332.7475000024
-10591856.7523,3489379.4557000026
-10591834.4664,3490162.619099997
-10592054.2975,3489678.059100002
-10591810.917,3490376.6243999973
-10592260.2122,3490230.597900003
-10592091.8934,3491334.336599998
-10568146.0051,3478868.8594999984
-10585938.9469,3508945.407499999
-10586037.2942,3508984.9509999976
-10582302.2192,3509021.9870999977
-10582305.0317,3509131.699699998
-10582364.3604,3509646.8720000014
-10657209.6906,3514777.590499997
-10657349.0658,3514153.234700002
-10656820.302,3515001.4021999985
-10654434.1176,3514374.6356000006
-10654626.3959,3513917.031300001
-10657151.647,3515105.7400999963
