x,y
-10618934.1897,3472375.4064000025
-10621539.0636,3475071.1652000025
-10621530.292,3475071.319799997
-10621726.219,3475255.7707
-10621434.2845,3475315.6977000013
-10621569.3605,3475313.583800003
-10621473.3153,3475315.5055000037
-10621530.5182,3475352.191200003
-10621685.3173,3475443.227600001
-10621625.239,3475545.5194000006
-10622000.0915,3475401.1459000036
-10622077.8271,3475306.6448
-10621999.4407,3475494.8800000027
-10622167.8338,3475491.1251000017
-10622158.3177,3475436.7621000037
-10622493.0425,3475207.8191
-10622145.6953,3475135.684600003
-10622823.2881,3475390.599200003
-10622792.6333,3475390.933799997
-10622626.0293,3475392.794200003
-10623057.2991,3475518.6677
-10622880.5749,3475390.041100003
-10623195.4332,3475330.446800001
-10623260.2583,3475614.0442999974
-10617433.5324,3478678.216600001
-10625799.1149,3465508.257100001
-10622380.9109,3469883.710900001
-10582539.84,3492107.8680000007
-10582987.7083,3491594.235600002
-10615556.568,3483751.496100001
-10615107.9699,3483322.5808999985
-10641404.4853,3466573.7990999967
-10640428.4274,3466879.7343999967
-10641427.2639,3463385.3259000033
-10641503.523,3463019.398400001
-10641454.4842,3463020.161799997
-10614689.8382,3475998.6143999994
-10613146.1981,3472566.8059
-10587825.4846,3462574.4846
-10588831.2634,3465842.958300002
-10587828.4739,3462721.167800002
-10587922.9327,3463036.114699997
-10588838.8228,3465104.907200001
-10588882.1911,3463956.4921000004
-10609772.2403,3473844.461599998
-10609723.0687,3473773.714400001
-10609886.4014,3473897.856700003
-10609886.7033,3473827.3238999993
-10609952.1447,3473704.172700003
-10609885.8575,3474024.8170000017
-10609835.929,3474130.404100001
-10609532.5281,3473938.6416999996
-10609139.0612,3474127.3676000014
-10609655.8506,3474309.4904000014
-10609606.8298,3474203.4727
-10609835.5358,3474222.099200003
-10609948.7399,3474481.913800001
-10609303.8866,3474486.642999999
-10609254.7788,3474433.7378999963
-10608910.201,3474719.319600001
-10609484.7439,3474675.652599998
-10609720.8089,3474676.472599998
-10609835.2951,3474676.9003000036
-10609769.2172,3474962.3220999986
-10609719.7957,3474962.222400002
-10609605.394,3474979.407700002
-10609139.8749,3474956.0569999963
-10609073.914,3474944.4455000013
-10609253.8829,3475136.9548999965
-10609532.4344,3475176.8584999964
-10609482.9475,3475211.6199999973
-10609602.4002,3475265.1969000027
-10609833.1858,3475300.6746999994
-10610086.9662,3475144.7060000002
-10609653.0848,3475410.159400001
-10609767.9204,3475766.903999999
-10609832.45,3475842.1811000034
-10609767.7748,3475823.495099999
-10609766.1562,3476109.4444999993
-10609715.078,3476157.3856000006
-10611080.3301,3469246.702799998
-10611068.7082,3469205.2694000006
-10611042.003,3469098.8994000033
-10611144.8273,3469134.4444999993
-10611118.9522,3469066.0703999996
-10615777.4702,3475865.402900003
-10612848.572,3476843.701899998
-10605735.0292,3481062.459899999
-10605788.0022,3480930.3456000015
-10605777.9557,3480655.0068000033
-10605099.6628,3480464.474799998
-10605936.3816,3480221.6564000025
-10605353.064,3480113.2334999964
-10605888.6733,3480037.639399998
-10606050.1702,3479889.5287000015
-10605423.3143,3479877.3791000023
-10611887.0032,3470342.0722000003
-10612205.6569,3470387.6736999974
-10612290.3057,3470314.6545
-10612487.9721,3470345.7650000006
-10611924.7479,3469898.4536999986
-10612093.0802,3470026.0014000013
-10612280.0158,3470056.0864000022
-10612477.9634,3470148.1636999995
-10612405.6299,3470023.610200003
-10612357.9779,3469943.8768000007
-10612105.5547,3469909.1385999992
-10612776.4937,3470094.237999998
-10612570.6186,3469790.078400001
-10612690.1458,3469714.7876999974
-10612902.3103,3469499.2918
-10613025.2311,3469434.8012000024
-10612112.5253,3471826.438699998
-10612013.3053,3471826.3937000036
-10612130.39,3471784.108900003
-10611068.5939,3471092.973099999
-10611341.1756,3471357.623300001
-10611402.3726,3471342.6987000033
-10617739.1356,3471160.6853
-10618071.5606,3471183.976300001
-10617995.4635,3471088.7519999966
-10610861.7155,3476566.8724000007
-10610768.469,3476665.5869999975
-10610682.2044,3476666.480300002
-10618362.0269,3471326.386699997
-10612626.5508,3474640.8574
-10603849.7423,3469298.725900002
-10603883.1403,3469387.4579000026
-10603733.3993,3469566.719899997
-10603907.5228,3469705.2699000016
-10603695.6236,3469831.037299998
-10603828.6997,3470057.474100001
-10603888.1556,3470356.976499997
-10603924.3517,3470442.9978
-10603861.1679,3470762.413999997
-10603655.7942,3471118.9902999997
-10603732.6724,3472034.225299999
-10618609.0651,3469361.0266999975
-10609061.5263,3468232.5046999976
-10608893.3265,3468075.4337000027
-10608893.031,3468093.590300001
-10608821.0127,3468276.6206
-10608870.0939,3468387.578599997
-10608836.4617,3468456.9532999992
-10608780.2946,3467822.713799998
-10608728.1614,3468029.2880999967
-10608707.7167,3467731.394199997
-10608669.336,3467883.500500001
-10608702.5325,3468384.905000001
-10608710.9453,3468405.213799998
-10608595.4191,3468268.3555999994
-10608403.2463,3468311.8461000025
-10613874.675,3474951.2870000005
-10612973.0183,3476195.581600003
-10610578.9469,3470371.578599997
-10610543.6026,3470263.6099999994
-10610701.9568,3470803.064199999
-10617376.9794,3479047.893600002
-10617264.3299,3478934.0864000022
-10599732.052,3455275.8500000015
-10599619.9762,3455232.076200001
-10599216.2731,3455130.4944999963
-10616296.2829,3476462.574500002
-10616296.2406,3476445.0577000007
-10616138.9825,3476275.8408999965
-10618913.5149,3478419.559299998
-10619839.0715,3481837.3367
-10620098.7743,3483316.470200002
-10609439.9807,3476141.663400002
-10609279.8256,3476176.4551
-10609035.6644,3476175.977600001
-10609084.2574,3476088.0293999985
-10609297.7158,3475876.8319000006
-10609392.7949,3475821.649099998
-10609511.1514,3475786.462099999
-10608965.6267,3475788.083999999
-10608983.2585,3475699.9341999963
-10609357.7085,3475648.605800003
-10608983.2789,3475611.7775000036
-10609122.663,3475524.0900000036
-10608939.4592,3475470.691399999
-10608913.1912,3475435.4585999995
-10609382.7766,3475347.5808999985
-10606022.7992,3467267.5731000006
-10617085.7792,3473547.818599999
-10616501.9718,3475817.963799998
-10624617.8311,3487287.150899999
-10624085.6567,3487284.3916999996
-10623922.3578,3487304.9892000034
-10623976.9051,3487112.6696999967
-10624343.5315,3487114.6921999976
-10624996.0108,3487445.1719999984
-10624616.7573,3487573.8703999966
-10624341.0496,3487837.354000002
-10623616.1687,3487015.4169000015
-10624664.0041,3486883.9816000015
-10624785.8789,3486848.717500001
-10623710.1223,3486460.6893000007
-10623727.0984,3486398.697499998
-10623709.3719,3486381.267099999
-10623850.5531,3486328.3373000026
-10624159.637,3486296.9438999966
-10624160.0347,3486334.6635999978
-10622983.5602,3486751.2591999993
-10623068.589,3486447.445299998
-10625322.3152,3486577.9346999973
-10625198.9461,3486515.1121999994
-10625312.1266,3486750.608400002
-10625371.5674,3486862.979000002
-10625397.4934,3486749.5354999974
-10625380.8396,3486395.8166999966
-10625577.2817,3486394.785700001
-10625447.8144,3486326.803000003
-10625113.5574,3485645.0771000013
-10625281.5745,3485533.949000001
-10625133.9405,3485490.6039000005
-10625344.5669,3485489.5051999986
-10625385.6153,3485380.1985
-10625440.2252,3485547.5525999963
-10625152.0105,3485159.127700001
-10623011.9766,3485775.269299999
-10622656.4168,3485621.6432000026
-10622439.3589,3485535.0251
-10622394.0099,3485908.650399998
-10622391.335,3485587.445600003
-10622352.0052,3485600.110799998
-10622559.7018,3484441.4865000024
-10669930.4655,3507368.7435000017
-10613763.0617,3468835.6943999976
-10612410.3362,3475741.0135999992
-10612409.4908,3475561.0102000013
-10612407.2801,3475481.5156999975
-10612407.3602,3475490.3330999985
-10612351.9221,3475582.656800002
-10612319.7122,3475818.179700002
-10614348.826,3468983.0687000006
-10650672.9788,3497173.7151999995
-10651503.6322,3497037.302699998
-10607274.0358,3489129.1837000027
-10604981.2268,3489767.0716999993
-10607677.7956,3489235.3499
-10604256.0562,3488818.046099998
-10604405.4512,3488818.7553000003
-10604444.512,3503246.4800999984
-10604327.6066,3502970.8620000035
-10619352.9382,3470838.133100003
-10619056.7673,3471140.596000001
-10619056.5619,3471131.7185999975
-10619679.7555,3471341.6906000003
-10619740.8252,3471348.2617999986
-10619016.9069,3470956.398699999
-10619011.0022,3470919.8059
-10619100.2057,3470918.702799998
-10619121.6864,3471007.2722999975
-10619236.6821,3471237.856200002
-10619339.5935,3471228.4372000024
-10607992.2302,3476174.808799997
-10608329.9998,3475780.185800001
-10608405.4508,3475602.282300003
-10608066.8773,3475520.8583000004
-10607979.8592,3475557.876699999
-10608069.5182,3475432.6103999987
-10607968.4713,3475425.8113999963
-10608260.5655,3475375.8738999963
-10608294.9527,3475339.908
-10607957.0836,3475293.7474000007
-10608361.6305,3475162.1862000003
-10608434.4394,3475072.5358999968
-10608033.5136,3474762.979800001
-10607906.5211,3474588.3857000023
-10607940.0767,3474499.4892999977
-10608343.8902,3474280.5776000023
-10607920.2669,3474290.528999999
-10608250.2395,3474018.0863000005
-10608296.105,3473663.8137999997
-10608209.8357,3473699.849399999
-10608384.8196,3473484.111299999
-10608361.7812,3473396.8819999993
-10608615.5321,3475995.492700003
-10608572.0864,3475951.7344999984
-10608530.1813,3475635.0383
-10608539.509,3475193.902599998
-10608524.7761,3474574.7612999976
-10615556.6158,3469937.1116999984
-10616110.9125,3469929.369599998
-10616498.8685,3470295.7634999976
-10616590.0677,3470075.088299997
-10615702.706,3468988.941399999
-10615859.5191,3469087.0974999964
-10616810.2154,3469857.9804000035
-10616813.6783,3469817.5480000004
-10620949.6479,3479435.8954000026
-10620231.286,3479316.757799998
-10620494.7364,3479372.5683000013
-10620672.5232,3479308.6567
-10620840.1288,3479174.6855999976
-10620430.6845,3479241.7775000036
-10620457.0064,3479241.240699999
-10619985.7111,3479190.9483999982
-10619880.4163,3479192.6784000024
-10620370.4606,3479092.4015000015
-10620917.2128,3479043.717799999
-10621301.8788,3479107.2564999983
-10620509.3632,3478983.0342999995
-10620354.3124,3478923.777800001
-10619873.3426,3478860.9896000028
-10619974.2407,3478858.969700001
-10619986.5138,3478798.9902999997
-10620213.9008,3478854.715300001
-10620604.5579,3478847.628700003
-10620712.3551,3478785.4758
-10621272.4092,3478646.630400002
-10620578.9591,3478657.7440000027
-10619180.023,3478667.3104000017
-10619546.4373,3478598.501199998
-10620107.7474,3478594.336599998
-10620512.3797,3478598.8888000026
-10621362.3476,3478574.5786999986
-10620853.9919,3478392.097000003
-10620495.2379,3478133.633299999
-10620495.4032,3478144.215499997
-10620469.0784,3478137.7493999973
-10619470.4845,3478250.501500003
-10619174.1676,3478219.4922999963
-10618942.1629,3477904.720700003
-10619058.8124,3477888.9272999987
-10619098.3254,3478013.4601000026
-10619045.4019,3477926.2036999986
-10619047.7917,3478067.2946000025
-10619220.2654,3477958.1767000034
-10619466.2622,3478024.7541000023
-10620347.4494,3478020.710900001
-10620347.1267,3478003.0749000013
-10620303.6305,3478024.167000003
-10620704.9232,3478060.0653000027
-10620907.1404,3477928.5134000033
-10620613.0924,3477873.1670999974
-10620595.5444,3477873.4054000005
-10620565.1541,3477935.408699997
-10620360.6444,3477937.708300002
-10620335.0388,3477938.2251999974
-10619533.6057,3477798.669200003
-10619831.4357,3477652.2148
-10620428.5546,3477665.2025000006
-10620304.3978,3477515.880599998
-10620060.3363,3477558.4390999973
-10619937.7389,3477539.798600003
-10619334.9015,3477480.2126
-10619089.6445,3477466.8663000017
-10619090.8958,3477537.3642000034
-10619331.3795,3477261.865199998
-10619332.071,3477301.544399999
-10619401.709,3477242.8407000005
-10619524.8594,3477293.938699998
-10619862.3045,3477322.652999997
-10620179.7189,3477318.4635000005
-10620178.1224,3477238.3077000007
-10620561.6362,3477336.5782999992
-10620238.9584,3477105.9042000026
-10620173.1281,3476989.5028000027
-10620051.1382,3477017.638899997
-10619980.4175,3477030.7808
-10619541.8399,3477123.2414000034
-10619274.7033,3476990.031800002
-10619328.3481,3477091.621100001
-10619142.0316,3476947.878700003
-10619032.0433,3477100.080600001
-10619031.0346,3477047.100299999
-10618964.5057,3477108.9900999963
-10619077.9565,3476862.5835999995
-10619321.5758,3476734.4794000015
-10619516.3714,3476780.3275000006
-10619801.3187,3476744.8125
-10619854.0008,3476761.6757000014
-10619977.2927,3476847.3954000026
-10620046.7675,3476741.803199999
-10620170.989,3476879.4372000024
-10620533.9707,3476761.6916999966
-10620591.4473,3476521.1481000036
-10620461.8376,3476475.6689999998
-10619659.0124,3476458.1652999967
-10619679.4422,3476457.7051
-10619550.9658,3476550.902599998
-10619550.2162,3476508.671400003
-10619262.3428,3476263.326200001
-10619846.0468,3476341.9971999973
-10620213.2357,3476255.8891000003
-10620287.4505,3476380.4014
-10619913.5488,3476119.9406000003
-10619974.6586,3476004.5820000023
-10619067.7595,3476152.427500002
-10619133.0304,3475844.8863999993
-10619501.6187,3475824.6525000036
-10619961.5743,3475851.4985999987
-10619963.603,3475936.7260999978
-10620328.6489,3475815.949000001
-10620591.3578,3476463.8188999966
-10620523.3174,3476068.468500003
-10619900.3472,3475507.621600002
-10619303.2192,3475641.732000001
-10619487.4696,3475076.5141000003
-10619502.4321,3475049.7722999975
-10619847.2293,3475395.721500002
-10617630.3281,3478180.2018000036
-10619404.0233,3480367.9382999986
-10619060.2118,3480134.2502999976
-10619254.3351,3479940.0515
-10619271.1674,3479893.2101000026
-10619245.5599,3479940.188199997
-10619309.6383,3479686.3505000025
-10618998.2379,3480537.306400001
-10618825.1458,3480518.280100003
-10618670.6944,3480520.5732999966
-10618694.0154,3480699.032899998
-10618559.6665,3480611.791699998
-10618489.4603,3480612.8039000034
-10618635.1549,3480500.9968999997
-10618530.1451,3480522.4279000014
-10618376.198,3480523.6407999992
-10612771.9393,3474698.3916999996
-10615134.234,3476903.210000001
-10615134.6995,3476920.8043000028
-10615347.0598,3477047.3769000024
-10615711.449,3477052.223200001
-10615614.3334,3477407.547200002
-10616026.2164,3477600.9646999985
-10616025.804,3477548.2936000004
-10616088.4699,3477712.1033999994
-10615925.6581,3477694.1269000024
-10615722.9015,3477789.9635000005
-10615200.1118,3478067.479000002
-10615156.5017,3478017.1384999976
-10615257.7699,3478000.7158999965
-10615722.8753,3477952.7555000037
-10615929.5976,3478132.067599997
-10615682.2607,3478170.975100003
-10616240.652,3478328.8676000014
-10616288.3399,3478347.3922000006
-10611481.824,3473183.3857999966
-10666786.7958,3477096.423799999
-10666790.8321,3477172.2251999974
-10666506.0083,3476894.8140999973
-10666498.1904,3476974.2035000026
-10606520.538,3466520.6520000026
-10612787.2997,3471160.905199997
-10617465.0312,3469393.6947000027
-10611934.5237,3468941.8079999983
-10612018.5819,3469125.3659000024
-10612108.7051,3469103.952299997
-10612116.0056,3469120.175499998
-10612159.8394,3469080.7722000033
-10620369.7776,3474585.0134999976
-10614677.4292,3468548.143600002
-10613822.5591,3468939.757100001
-10613931.4749,3468837.604199998
-10611662.2788,3474204.240500003
-10611597.6272,3473989.547799997
-10610995.5454,3470883.6297999993
-10611242.5674,3470759.719300002
-10611193.16,3470475.457699999
-10620066.2717,3473662.9377000034
-10619989.833,3473673.5825999975
-10618360.1816,3480212.8778000027
-10618238.6441,3480082.1696999967
-10618708.9728,3486209.2386000007
-10619607.1597,3486556.973200001
-10619605.1126,3487400.431900002
-10619604.4158,3487352.2608999982
-10619622.0936,3487126.8400000036
-10621000.8844,3484103.800300002
-10614588.08,3475432.533
-10614349.0413,3475390.732500002
-10614905.2401,3475579.397
-10614939.397,3475508.522699997
-10614814.8952,3475628.0599000007
-10614407.6279,3475647.6626999974
-10614809.3201,3475818.054399997
-10614926.0423,3475825.627700001
-10618500.7796,3469536.5803999975
-10618459.4068,3469654.2113000005
-10618511.346,3469872.4416000023
-10613606.2673,3472318.491700001
-10613675.702,3472425.6996000037
-10581336.8991,3462360.767499998
-10580995.5692,3461793.4243
-10581611.6032,3462037.352499999
-10582878.2929,3462978.0490999967
-10584169.6651,3462586.055399999
-10583536.0806,3462700.380400002
-10584452.5565,3461700.7432999983
-10583113.8687,3462326.125500001
-10582892.2787,3461734.505099997
-10586193.4646,3464541.688199997
-10578223.7536,3460084.825099997
-10578339.5452,3460130.9734999985
-10577763.9591,3460343.9136999995
-10577942.3662,3460683.6247000024
-10578240.691,3461062.4355000034
-10578061.3044,3461089.646499999
-10577667.701,3461238.805200003
-10578179.2527,3461232.763899997
-10578129.6981,3461224.7700000033
-10578409.4046,3461133.7080999985
-10578248.1751,3461385.9463
-10578182.991,3461333.8236000016
