x,y,gmt,precip_mm
-10591582.0071,3442100.6779000014,1.5,191.7237622364458
-10586951.1163,3442100.6779000014,1.5,192.4230751129518
-10600866.0527,3447436.3517000005,1.5,193.03623870481928
-10596224.0299,3447436.3517000005,1.5,194.77306099397592
-10591582.0071,3447436.3517000005,1.5,193.1215173192771
-10586951.1163,3447436.3517000005,1.5,193.10866905120483
-10582309.0935,3447436.3517000005,1.5,194.37669427710844
-10577667.0708,3447436.3517000005,1.5,195.17636954066265
-10624053.9026,3452774.228600003,1.5,184.6929593373494
-10619411.8798,3452774.228600003,1.5,186.84120858433735
-10614780.989,3452774.228600003,1.5,190.8222891566265
-10610138.9662,3452774.228600003,1.5,193.39867281626505
-10605496.9435,3452774.228600003,1.5,192.8152296686747
-10600866.0527,3452774.228600003,1.5,197.24366999246988
-10596224.0299,3452774.228600003,1.5,195.4554310993976
-10591582.0071,3452774.228600003,1.5,195.8030873493976
-10586951.1163,3452774.228600003,1.5,195.06346479668676
-10582309.0935,3452774.228600003,1.5,195.07908979668676
-10577667.0708,3452774.228600003,1.5,196.17011012801206
-10637968.8389,3458101.5047999993,1.5,180.1917592243976
-10633326.8162,3458101.5047999993,1.5,181.46649096385542
-10628695.9253,3458101.5047999993,1.5,182.90893260542168
-10624053.9026,3458101.5047999993,1.5,183.18098173945782
-10619411.8798,3458101.5047999993,1.5,185.3069935993976
-10614780.989,3458101.5047999993,1.5,189.0855374623494
-10610138.9662,3458101.5047999993,1.5,192.8765060240964
-10605496.9435,3458101.5047999993,1.5,193.7968985316265
-10600866.0527,3458101.5047999993,1.5,194.7124435240964
-10596224.0299,3458101.5047999993,1.5,195.5015530873494
-10591582.0071,3458101.5047999993,1.5,193.33989081325302
-10586951.1163,3458101.5047999993,1.5,195.2265860316265
-10582309.0935,3458101.5047999993,1.5,197.23625753012047
-10577667.0708,3458101.5047999993,1.5,197.20453689759037
-10647241.7525,3463443.796599999,1.5,177.939547251506
-10642610.8617,3463443.796599999,1.5,179.80346385542168
-10637968.8389,3463443.796599999,1.5,180.07518354668676
-10633326.8162,3463443.796599999,1.5,179.59092620481928
-10628695.9253,3463443.796599999,1.5,181.29541603915663
-10624053.9026,3463443.796599999,1.5,181.79769860692772
-10619411.8798,3463443.796599999,1.5,184.98458678463857
-10614780.989,3463443.796599999,1.5,187.5297204442771
-10610138.9662,3463443.796599999,1.5,191.06918298192772
-10605496.9435,3463443.796599999,1.5,191.2139966114458
-10600866.0527,3463443.796599999,1.5,193.43735881024097
-10596224.0299,3463443.796599999,1.5,193.57911332831324
-10591582.0071,3463443.796599999,1.5,193.24816453313252
-10586951.1163,3463443.796599999,1.5,195.3468797063253
-10582309.0935,3463443.796599999,1.5,194.0061888177711
-10577667.0708,3463443.796599999,1.5,195.83412556475903
-10651883.7753,3468788.3055000007,1.5,173.74835278614458
